case_type,issue_type,support_segment,zendesk_tier,channel,sales_territory,billing_region,zendesk_tickets,fin_only_resolved,support_contacts
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),UK,NORAM,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),UK,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Unknown,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),Unknown,UK,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Internal),WW,MENA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),Crypto,Crypto,4,0,4
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),GCR,APAC,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),Issuing,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),KSA,EEA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),NORAM,Crypto,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),NORAM,Israel,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),NORAM,MENA,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),NORAM,NORAM,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),Northern Europe,EEA,2,0,2
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),Singapore/ANZ,APAC,6,0,6
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),Southern Europe,EEA,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),UAE,MENA,28,0,28
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),UAE,Mauritius,1,0,1
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),UAE,Unknown,3,0,3
ACCOUNT MANAGEMENT & ACCESS,Account changes,Standard,Tier 3,Email (Merchant),UK,NORAM,2,0,2
